WARNING 2025-09-17 09:58:01,806 log 8 136110194944896 Bad Request: /api/auth/register/
WARNING 2025-09-17 09:58:12,344 log 7 136110194944896 Bad Request: /api/auth/register/
WARNING 2025-09-17 09:58:26,573 log 8 136110194944896 Bad Request: /api/auth/register/
WARNING 2025-09-17 10:41:45,296 log 10 123905162099584 Bad Request: /api/auth/logout/
WARNING 2025-09-17 11:48:23,973 log 9 128293701512064 Unauthorized: /api/auth/user-info/
WARNING 2025-09-17 11:48:24,434 log 10 128293701512064 Unauthorized: /api/auth/user-info/
WARNING 2025-09-17 11:48:26,129 log 10 128293701512064 Bad Request: /api/auth/login/
WARNING 2025-09-17 14:01:03,187 log 8 125150746536832 Unauthorized: /api/auth/user-info/
INFO 2025-09-17 14:04:58,321 document_handler 84 135324254149504 扫描到 3 个新文件
INFO 2025-09-17 14:04:58,326 document_handler 84 135324254149504 文件已移动到processing目录: t0005_all_data_boss01_daily_v2_20250912.csv
INFO 2025-09-17 14:04:58,329 document_handler 84 135324254149504 文件已移动到processing目录: t0005_all_data_boss02_daily_v2_20250910.csv
INFO 2025-09-17 14:04:58,332 document_handler 84 135324254149504 文件已移动到processing目录: t0005_all_data_boss02_daily_v2_20250911.csv
INFO 2025-09-17 14:06:07,981 document_handler 145 138120898157440 扫描到 3 个新文件
INFO 2025-09-17 14:06:07,984 document_handler 145 138120898157440 文件已移动到processing目录: t0005_all_data_boss01_daily_v2_20250912.csv
INFO 2025-09-17 14:06:07,987 document_handler 145 138120898157440 文件已移动到processing目录: t0005_all_data_boss02_daily_v2_20250910.csv
INFO 2025-09-17 14:06:07,991 document_handler 145 138120898157440 文件已移动到processing目录: t0005_all_data_boss02_daily_v2_20250911.csv
INFO 2025-09-17 14:08:33,346 document_handler 60 123191677541248 扫描到 3 个新文件
INFO 2025-09-17 14:08:33,348 document_handler 60 123191677541248 文件已移动到processing目录: t0005_all_data_boss01_daily_v2_20250912.csv
INFO 2025-09-17 14:08:33,780 document_handler 60 123191677541248 创建文档记录: 1 - t0005_all_data_boss01_daily_v2_20250912.csv
WARNING 2025-09-17 14:08:33,863 document_handler 60 123191677541248 第1行ICCID格式不正确: 8985207220080407055
WARNING 2025-09-17 14:08:33,863 document_handler 60 123191677541248 第2行ICCID格式不正确: 8985207220080414087
WARNING 2025-09-17 14:08:33,863 document_handler 60 123191677541248 第3行ICCID格式不正确: 8985207220053538090
WARNING 2025-09-17 14:08:33,863 document_handler 60 123191677541248 第4行ICCID格式不正确: 8985207220080415697
WARNING 2025-09-17 14:08:33,864 document_handler 60 123191677541248 第5行ICCID格式不正确: 8985207220080414141
WARNING 2025-09-17 14:08:33,864 document_handler 60 123191677541248 第6行ICCID格式不正确: 8985207220080415499
WARNING 2025-09-17 14:08:33,864 document_handler 60 123191677541248 第7行ICCID格式不正确: 8985207220080414156
WARNING 2025-09-17 14:08:33,865 document_handler 60 123191677541248 第8行ICCID格式不正确: 8985207220080413817
WARNING 2025-09-17 14:08:33,865 document_handler 60 123191677541248 第9行ICCID格式不正确: 8985207220080422911
WARNING 2025-09-17 14:08:33,865 document_handler 60 123191677541248 第10行ICCID格式不正确: 8985207220080413786
WARNING 2025-09-17 14:08:33,865 document_handler 60 123191677541248 第11行ICCID格式不正确: 8985207220080391428
WARNING 2025-09-17 14:08:33,866 document_handler 60 123191677541248 第12行ICCID格式不正确: 8985207220080402390
WARNING 2025-09-17 14:08:33,866 document_handler 60 123191677541248 第13行ICCID格式不正确: 8985207220080401693
WARNING 2025-09-17 14:08:33,866 document_handler 60 123191677541248 第14行ICCID格式不正确: 8985207220053538195
WARNING 2025-09-17 14:08:33,867 document_handler 60 123191677541248 第15行ICCID格式不正确: 8985207220053536548
WARNING 2025-09-17 14:08:33,867 document_handler 60 123191677541248 第16行ICCID格式不正确: 8985207220080392280
WARNING 2025-09-17 14:08:33,867 document_handler 60 123191677541248 第17行ICCID格式不正确: 8985207220080404329
WARNING 2025-09-17 14:08:33,868 document_handler 60 123191677541248 第18行ICCID格式不正确: 8985207220080409134
WARNING 2025-09-17 14:08:33,868 document_handler 60 123191677541248 第19行ICCID格式不正确: 8985207220080405029
WARNING 2025-09-17 14:08:33,868 document_handler 60 123191677541248 第20行ICCID格式不正确: 8985207220080407207
WARNING 2025-09-17 14:08:33,868 document_handler 60 123191677541248 第21行ICCID格式不正确: 8985207220053539145
WARNING 2025-09-17 14:08:33,869 document_handler 60 123191677541248 第22行ICCID格式不正确: 8985207220053315200
WARNING 2025-09-17 14:08:33,869 document_handler 60 123191677541248 第23行ICCID格式不正确: 8985207220053539120
WARNING 2025-09-17 14:08:33,870 document_handler 60 123191677541248 第24行ICCID格式不正确: 8985207220054693321
WARNING 2025-09-17 14:08:33,870 document_handler 60 123191677541248 第25行ICCID格式不正确: 8985207220080410539
WARNING 2025-09-17 14:08:33,870 document_handler 60 123191677541248 第26行ICCID格式不正确: 8985207220080401616
WARNING 2025-09-17 14:08:33,870 document_handler 60 123191677541248 第27行ICCID格式不正确: 8985207220080410190
WARNING 2025-09-17 14:08:33,871 document_handler 60 123191677541248 第28行ICCID格式不正确: 8985207220053536399
WARNING 2025-09-17 14:08:33,871 document_handler 60 123191677541248 第29行ICCID格式不正确: 8985207220053350168
WARNING 2025-09-17 14:08:33,871 document_handler 60 123191677541248 第30行ICCID格式不正确: 8985207220053539779
WARNING 2025-09-17 14:08:33,871 document_handler 60 123191677541248 第31行ICCID格式不正确: 8985207220053320138
WARNING 2025-09-17 14:08:33,871 document_handler 60 123191677541248 第32行ICCID格式不正确: 8985207220080409340
WARNING 2025-09-17 14:08:33,872 document_handler 60 123191677541248 第33行ICCID格式不正确: 8985207220080414081
